^Control Number^|^Email From^|^Sample Indicator^|^Date Sent^|^Date Received^|^Embedded Data Info^
^10k_DOCS_WITHOUT_NATIVES_0000000001^|^C68DMDPYJQC6GAUDRMXB^|^No^|^2039-06-10^|^2026-06-14^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000002^|^HYJ56ZGA7CFH1Y569BVX^|^Yes^|^2024-11-30^|^2046-07-06^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000003^|^VXJPRI0JU930LAV5H2DH^|^No^|^2032-05-23^|^2036-02-22^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000004^|^IOVNWAV7OR8KZUHPMSD7^|^No^|^2025-03-09^|^2029-06-12^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000005^|^LNLPGGVMMOE4ELCAAE7Z^|^Yes^|^2021-03-31^|^2034-04-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000006^|^43H8DJT61CN43KRHNVMC^|^No^|^2048-07-27^|^2037-06-05^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000007^|^Y0PTPJONZC61ABT7FARU^|^No^|^2045-02-04^|^2035-05-18^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000008^|^4QHWGGAR3EJHK7ZTVCZZ^|^No^|^2037-01-15^|^2045-11-13^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000009^|^ZTWXEG6ZIWJFCKQBBTWP^|^No^|^2033-04-05^|^2020-05-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000010^|^11LW9HMI03Y5SIINTBJ1^|^No^|^2030-11-02^|^2042-10-31^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000011^|^CBW7905PDJSWNMNXFUVA^|^Yes^|^2032-02-06^|^2038-03-07^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000012^|^X0YKXIFW43SB0BUV0R6H^|^Yes^|^2023-01-07^|^2020-09-06^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000013^|^LZJ28F4F2ALRAEZ69W9E^|^No^|^2038-06-17^|^2043-02-27^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000014^|^BDHI9W8K4JM3SHOFVA2A^|^No^|^2046-08-30^|^2039-11-18^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000015^|^SAIT8A8B8COWOVC10G8X^|^Yes^|^2048-03-28^|^2037-10-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000016^|^2UQXRUFF0EL8NCHFHJ88^|^Yes^|^2044-02-14^|^2047-08-25^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000017^|^CM0O203W0G3QOIN3N2TD^|^No^|^2019-10-09^|^2021-12-01^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000018^|^KHTDRZL6I7G2IJ3UYWTK^|^No^|^2022-10-01^|^2031-10-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000019^|^CJ5MPM5B8O59E9RPZRUG^|^Yes^|^2049-03-01^|^2035-01-12^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000020^|^NG97FHP7MVK2KMMQ6EQG^|^No^|^2041-05-06^|^2020-03-12^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000021^|^GYDUHEB3UWTGN8NJDZNL^|^Yes^|^2038-08-14^|^2022-04-13^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000022^|^DW0MCL3YISJ3OQCOO6BC^|^No^|^2048-02-25^|^2046-10-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
